# SGY_fanqie: Database of Guangyun (廣韻) 3,874 Xiaoyun Representative Characters
#
# Version: 1.1.0
# Date: 6 June 2026
# Last modified: 16 July 2026
#
# Copyright (c) 2026 IKEDA Shoju (Professor Emeritus, Hokkaido University)
# Contact: ikeda.shoju@gmail.com
#
# Data License Information and Access Rights
# License:
# Creative Commons Attribution-ShareAlike 4.0 International License (CC BY-SA 4.0)
# Access Rights (Availability):
# Open access
#
# CSV Format information:
#
# hanzi                  Chinese character headword in Guangyun (廣韻の見出し字)
# hanzi_alt              Chinese character headword in Qieyun (切韻の見出し字)
# fanqie                 Fanqie in Guangyun (廣韻反切)
# fanqie_alt             Fanqie in Qieyun (切韻反切)
# entry_no               Serial entry number
# fanqie_note            Textual notes on differences among Qieyun系 documents (Qieyun, Wang I/II/III, Tangyun, Guangyun, etc.)
# volume_rhyme_yunmu_raw Volume, sequence number, and rhyme in Guangyun (廣韻の巻・序数・韻)
# volume_rhyme_yunmu     Volume, sequence number, and rhyme in Qieyun (切韻の巻・序数・韻)
# word_id                Location of the character in Guangyun (廣韻所在); corresponding ID in sbgy.xml (8-digit number excluding 'w' prefix)
# wuyun                  Traditional Five Tones classification (五音: 舌音, 唇音, etc.)
# qingzhuo               Fourfold classification of voicing (清濁: 全清, 次清, 全濁, 次濁)
# shengmu                Initial consonant (声母) based on the Thirty-Six Initials (三十六字母) system (Song Dynasty style)
# shengmu_deng           Initial consonant with division (等) number
#
# Features:
# This dataset features an independent initial consonant (声母) classification system
# separate from sbgy.xml and Guangyun.csv (see wuyun / qingzhuo / shengmu / shengmu_deng above).
# The 'fanqie_note' column enables comparative analysis with various Qieyun-lineage primary sources.
#
# Data Quality Notes:
# - The following columns present in earlier working versions of this file were derived
#   from non-original (third-party) data and have been removed as of this revision:
#   rhyme_num, tone_volume_code, rhyme_id, entry_index, entry_subindex,
#   she_kaihe_deng, fanqie_marked.
# - This dataset was compiled and revised intermittently over more than a decade.
#   During that process, a linking error caused misalignment in the 'fanqie_note'
#   column. The affected entries have been corrected to the extent currently possible,
#   but a full, systematic verification of 'fanqie_note' across the entire dataset
#   has not yet been completed. Users should treat 'fanqie_note' with corresponding
#   caution until this review is finished.
hanzi,hanzi_alt,fanqie,fanqie_alt,entry_no,fanqie_note,volume_rhyme_yunmu_raw,volume_rhyme_yunmu,word_id,wuyun,qingzhuo,shengmu,shengmu_deng
朾,朾,中莖,中莖,937,切3 王2 王3 広,2:13:耕,2:40:耕,229b0702,舌音,全清,知,端開3
甖,甖,烏莖,烏莖,938,切3 王2 王3 広,2:13:耕,2:40:耕,229b0805,喉音,全清,影,影開2
崢,崢,七耕,士耕,939,切3 王2 広 仕耕 王3,2:13:耕,2:40:耕,229b1005,齒音,次清,清,崇開2
琤,琤,楚耕,楚耕,940,切3 王2 王3 楚耕 広,2:13:耕,2:40:耕,230a0105,齒音,次清,穿二,初開2
儜,儜,女耕,女耕,941,切3 王2 王3 広,2:13:耕,2:40:耕,230a0205,舌音,清濁,孃,泥開2
怦,怦,普耕,普耕,942,切3 王2 王3 広,2:13:耕,2:40:耕,230a0304,唇音,次清,滂,滂2
轟,轟,呼宏,呼宏,943,切3 王2 王3 広,2:13:耕,2:40:耕,230a0501,喉音,全清,曉,曉合2
繃,繃,北萌,甫萌,944,切3 王3 逋萌 王2 北萌 広,2:13:耕,2:40:耕,230a0606,,,幫,幫2
橙,橙,宅耕,直耕,945,切3 王2 王3 宅耕 広,2:13:耕,2:40:耕,230a0705,舌音,全濁,澄,定開2
泓,泓,烏宏,烏宏,946,切3 王2 王3 広,2:13:耕,2:40:耕,230a0905,喉音,全清,影,影合2
輣,輣,薄萌,扶萌,947,切3 王2 王3 薄萌 広,2:13:耕,2:40:耕,230a1001,唇音,全濁,並,並2
娙,娙,五莖,五莖,948,切3 王2 王3 広,2:13:耕,2:40:耕,230a1006,牙音,清濁,疑,疑開2
爭,爭,側莖,側莖,949,切3 王2 王3 広,2:13:耕,2:40:耕,230b0102,齒音,全清,照二,莊開2
浜,浜,布耕,布耕,950,上田-なし　13広「浜布耕切」,2:13:耕,2:40:耕,229b0304,,,幫,幫
淸,淸,七情,七精,951,切3 王2 王3 七情 広/切3 王1 王3 P2017 七情 広 [ ]精 P2014-3,2:14:清,2:41:清,230b0301,齒音,次清,清,清開4
情,情,疾盈,疾盈,952,切3 王2 王3 広,2:14:清,2:41:清,230b0303,齒音,全濁,從,從開4
精,精,子盈,子情,953,切3 王2 子清 王3 子盈 広,2:14:清,2:41:清,230b0501,齒音,全清,精,精開4
盈,盈,以成,以成,954,切3 王2 王3 広,2:14:清,2:41:清,230b0705,喉音,清濁,喩,羊開4
營,營,余傾,余傾,955,切3 王2 王3 広,2:14:清,2:41:清,230b1004,喉音,清濁,喩,羊合4
嬰,嬰,於盈,於盈,956,切3 王2 王3 広,2:14:清,2:41:清,231a0203,喉音,全清,影,影開A
貞,貞,陟盈,陟盈,957,切3 王2 王3 広,2:14:清,2:41:清,231a0307,舌音,全清,知,端開3
檉,檉,丑貞,勅貞,958,王2 王3 丑貞 広,2:14:清,2:41:清,231a0501,舌音,次清,徹,透開3
成,成,是征,市征,959,王2 王3 是征 広,2:14:清,2:41:清,231a0602,齒音,全濁,禪,常開3
呈,呈,直貞,直貞,960,王2 王3 広,2:14:清,2:41:清,231b0105,舌音,全濁,澄,定開3
聲,聲,書盈,書盈,961,王2 王3 広,2:14:清,2:41:清,231b0305,齒音,全清,審三,書開3
征,征,諸盈,諸盈,962,王2 王3 広,2:14:清,2:41:清,231b0306,齒音,全清,照三,章開3
輕,輕,去盈,去盈,963,王2 王3 広,2:14:清,2:41:清,231b0506,牙音,次清,溪,溪開A
名,名,武并,武幷,964,王2 王3 広,2:14:清,2:41:清,231b0603,唇音,清濁,明,明A
跉,跉,呂貞,呂貞,965,王2 王3 広,2:14:清,2:41:清,231b0801,半舌音,清濁,來,來開3
幷,幷,府盈,府盈,966,王2 広 補盈 王3,2:14:清,2:41:清,231b0803,唇音,全清,幫,幫A
傾,傾,去營,去營,967,王3 広 [ ]榮 切3 去盈 王2,2:14:清,2:41:清,231b1001,牙音,次清,溪,溪合A
𩛿,𩛿,徐盈,徐盈,968,王2 王3 広,2:14:清,2:41:清,231b1003,齒音,全濁,邪,邪開4
縈,縈,於營,於營,969,王2 王3 広,2:14:清,2:41:清,231b1004,喉音,全清,影,影合A
瓊,瓊,渠營,渠營,970,王2 王3 広,2:14:清,2:41:清,232a0105,牙音,全濁,羣,羣合A
騂,騂,息營,息營,971,王2 王3 広,2:14:清,2:41:清,232a0307,齒音,全清,心,心合4
頸,頸,巨成,巨成,972,切3 王2 王3 広,2:14:清,2:41:清,232a0403,牙音,全濁,羣,羣開A
𧵣,𧵣,火營,火營,973,広 ナシ 切3 王2 王3,2:14:清,2:41:清,232a0407,喉音,全清,曉,曉合A
靑,靑,倉經,倉經,974,切3 王3 広 蒼經 王2/切3 王1 王3 P2017 広 [ ]經 P2014-3,2:15:青,2:42:青,232a0601,齒音,次清,清,清開4
經,經,古靈,古靈,975,切3 王2 王3 広,2:15:青,2:42:青,232a0802,牙音,全清,見,見開4
㓝,形,戸經,戸經,976,切3 王2 王3 広,2:15:青,2:42:青,232a0904,喉音,全濁,匣,匣開4
庭,庭,特丁,特丁,977,切3 王2 王3 広,2:15:青,2:42:青,232b0401,舌音,全濁,定,定開4
丁,丁,當經,當經,978,切3 王2 王3 広,2:15:青,2:42:青,232b0901,舌音,全清,端,端開4
馨,馨,呼刑,呼刑,979,切3 広 呼形 王2 王3,2:15:青,2:42:青,233a0101,喉音,全清,曉,曉開4
星,星,桑經,桑經,980,切3 王2 王3 広,2:15:青,2:42:青,233a0104,齒音,全清,心,心開4
竮,竮,普丁,普丁,981,切3 王2 王3 広,2:15:青,2:42:青,233a0402,唇音,次清,滂,滂4
靈,靈,郎丁,郎丁,982,切3 王2 王3 広,2:15:青,2:42:青,233a0506,半舌音,清濁,來,來開4
寧,寧,奴丁,奴丁,983,切3 王2 王3 広,2:15:青,2:42:青,234a0103,舌音,清濁,泥,泥開4
汀,汀,他丁,他丁,984,王2 王3 広 [ ]丁 切3,2:15:青,2:42:青,234a0304,舌音,次清,透,透開4
,鯖,,於刑,985,,,2:42:青,,,,,影開4
冥,冥,莫經,莫經,986,切3 王2 王3 広,2:15:青,2:42:青,234a0504,唇音,清濁,明,明4
甁,甁,薄經,薄經,987,切3 王2 王3 広,2:15:青,2:42:青,234a0804,唇音,全濁,並,並4
熒,熒,戸扃,胡丁,988,切3 王3 乎丁 王2 戸扃 広,2:15:青,2:42:青,234b0105,喉音,全濁,匣,匣合4
縈,扃,古螢,古螢,989,切3 王2 王3 広,2:15:青,2:42:青,234b0303,牙音,全清,見,見合4
尤,尤,羽求,雨求,990,切3 羽求 王1 王2 王3 広/切3 王1 王3 P2017 羽求 広 [ ]求 P2014-3,2:18:尤,2:43:尤,236b0601,喉音,清濁,于,于3
憂,憂,於求,於求,991,切3 王1 王2 王3 広,2:18:尤,2:43:尤,236b0802,喉音,全清,影,影3
劉,劉,力求,力求,992,切3 王1 王2 王3 広,2:18:尤,2:43:尤,237a0101,半舌音,清濁,來,來3
秋,秋,七由,七遊,993,切3 王1 王2 王3 七由 広,2:18:尤,2:43:尤,237b0203,齒音,次清,清,清4
猷,猷,以周,以周,994,切3 王1 王2 王3 広,2:18:尤,2:43:尤,237b0601,喉音,清濁,喩,羊4
牛,牛,語求,語求,995,切3 王1 王2 王3 広,2:18:尤,2:43:尤,238a0402,牙音,清濁,疑,疑3
遒,遒,即由,即由,996,切3 王1 王2 王3 広,2:18:尤,2:43:尤,238a0501,齒音,全清,精,精4
酋,酋,自秋,字秋,997,切3 王1 王2 王3 自秋 広,2:18:尤,2:43:尤,238a0707,齒音,全濁,從,從4
脩,脩,息流,息流,998,切3 王1 王2 王3 広,2:18:尤,2:43:尤,238a0905,齒音,全清,心,心4
抽,抽,丑鳩,勅鳩,999,切3 王1 王2 王3 丑鳩 広,2:18:尤,2:43:尤,238b0101,舌音,次清,徹,透3
犫,犨,赤周,赤周,1000,切3 王1 王2 王3 広,2:18:尤,2:43:尤,238b0205,齒音,次清,穿三,昌3
周,周,職流,職鳩,1001,切3 王1 王2 王3 職流 広,2:18:尤,2:43:尤,238b0302,齒音,全清,照三,章3
讎,讎,市流,市流,1002,切3 王1 王3 広 市州 王2,2:18:尤,2:43:尤,238b0803,齒音,全濁,禪,常3
柔,柔,耳由,耳由,1003,切3 王1 王2 王3 広,2:18:尤,2:43:尤,238b1003,半齒音,清濁,日,日3
收,收,式州,式周,1004,切3 王2 式州 王1 王3 広,2:18:尤,2:43:尤,239a0303,齒音,全清,審三,書3
丘,丘,去鳩,去求,1005,切3 王1 王2 王3 去鳩 広,2:18:尤,2:43:尤,239a0304,牙音,次清,溪,溪3
䬌,䬌,匹尤,匹尤,1006,切3 王1 王2 王3 広,2:18:尤,2:43:尤,239b0303,唇音,次清,敷,滂3
鳩,鳩,居求,居求,1007,切3 王1 王3 広 九求 王2,2:18:尤,2:43:尤,239b0403,牙音,全清,見,見3
不,不,甫鳩,甫鳩,1008,切3 王1 王2 王3 広,2:18:尤,2:43:尤,239b0507,唇音,全清,非,幫3
𢯱,𢯱,所鳩,所鳩,1009,切3 王1 王2 王3 広,2:18:尤,2:43:尤,239b0703,齒音,全清,審二,生2
搊,搊,楚鳩,楚尤,1010,切3 王1 王3 楚求 王2 楚鳩 広,2:18:尤,2:43:尤,239b0907,齒音,次清,穿二,初2
鄒,鄒,側鳩,側鳩,1011,切3 王1 王2 王3 広,2:18:尤,2:43:尤,239b1007,齒音,全清,照二,莊2
愁,愁,士尤,士尤,1012,切3 王1 王2 王3 士尤 広,2:18:尤,2:43:尤,240a0304,齒音,全濁,牀二,崇2
休,休,許尤,許尤,1013,切3 王1 王2 王3 広,2:18:尤,2:43:尤,240a0306,喉音,全清,曉,曉3
恘,惆,去秋,去愁,1014,切3 王1 王2 王3 去秋 広。恘,2:18:尤,2:43:尤,238b0202,牙音,次清,溪,溪3
囚,囚,似由,似由,1015,切3 王1 王2 王3 広,2:18:尤,2:43:尤,240a0601,齒音,全濁,邪,邪4
儔,儔,直由,直由,1016,切3 王1 王2 王3 広,2:18:尤,2:43:尤,240a0701,舌音,全濁,澄,定3
輈,輈,張流,張流,1017,王1 王3 広 張留 王2,2:18:尤,2:43:尤,240b0102,舌音,全清,知,端3
𧚍,裘,巨鳩,巨鳩,1018,切3 王1 王2 王3 広,2:18:尤,2:43:尤,240b0304,牙音,全濁,羣,羣3
浮,浮,縛謀,薄謀,1019,切3 王1 父謀 王2 縛謀 王3 広,2:18:尤,2:43:尤,241a0106,唇音,全濁,奉,並3
謀,謀,莫浮,莫浮,1020,王1 王2 王3 広 莫侯 切3,2:18:尤,2:43:尤,241a0503,唇音,清濁,明,明3
侯,侯,戸鉤,胡溝,1021,切3 王1 王2 王3 戸鉤 広/切3 王1 王3 P2014-3 P2017 胡鉤 広,2:19:侯,2:44:侯,241b0201,喉音,全濁,匣,匣1
謳,謳,烏侯,烏侯,1022,切3 王1 王2 王3 広,2:19:侯,2:44:侯,241b0907,喉音,全清,影,影1
羺,羺,奴鉤,奴溝,1023,王1 王2 女溝 切3 王2 奴鉤 広,2:19:侯,2:44:侯,242a0205,舌音,清濁,泥,泥1
樓,樓,落侯,落侯,1024,切3 王1 王2 王3 広,2:19:侯,2:44:侯,242a0301,半舌音,清濁,來,來1
涑,涑,速侯,速侯,1025,切3 王1 王2 広 束侯 王3,2:19:侯,2:44:侯,242a1005,齒音,全清,心,心1
彄,彄,恪侯,恪侯,1026,切3 王1 王2 王3 広,2:19:侯,2:44:侯,242b0107,牙音,次清,溪,溪1
齁,齁,呼侯,呼侯,1027,切3 王1 王2 王3 広,2:19:侯,2:44:侯,242b0301,喉音,全清,曉,曉1
𣠏,𣠏,子侯,子侯,1028,切3 王1 王2 王3 広,2:19:侯,2:44:侯,242b0303,齒音,全清,精,精1
偸,偸,託侯,託侯,1029,切3 王1 王2 王3 広,2:19:侯,2:44:侯,242b0403,舌音,次清,透,透1
頭,頭,度侯,度侯,1030,切3 王1 王2 王3 広,2:19:侯,2:44:侯,242b0503,舌音,全濁,定,定1
齵,齵,五婁,五侯,1031,切3 王1 王2 王3 五婁 広,2:19:侯,2:44:侯,242b0902,牙音,清濁,疑,疑1
鉤,鉤,古侯,古侯,1032,切3 王1 王2 王3 広,2:19:侯,2:44:侯,242b0903,牙音,全清,見,見1
兜,兜,當侯,當侯,1033,切3 王1 王2 王3 広,2:19:侯,2:44:侯,243a0402,舌音,全清,端,端1
㔌,㔌,徂鉤,徂鉤,1034,王1 王2 王3 広 俎鉤 切3,2:19:侯,2:44:侯,243a0601,齒音,全濁,從,從1
裒,裒,薄侯,薄溝,1035,王3 薄侯 広　ナシ 切3 王1 王2,2:19:侯,2:44:侯,243a0603,唇音,全濁,並,並1
䜅,䜅,千侯,千侯,1036,王2 王3 広 ナシ 切3 王1,2:19:侯,2:44:侯,243a0707,齒音,次清,清,清1
呣,呣,亡侯,亡侯,1037,広 ナシ 切3 王1 王2 王3,2:19:侯,2:44:侯,243a0801,唇音,清濁,明,明1
幽,幽,於虯,於虯,1038,切3 王2 王3 広/切3 王1 王3 P2017 広 [ ]虬 P2014-3,2:20:幽,2:45:幽,243a0901,喉音,全清,影,影A
虯,虯,渠幽,渠幽,1039,切3 王1 王2 王3 広,2:20:幽,2:45:幽,243b0101,牙音,全濁,羣,羣A
彪,彪,甫烋,甫休,1040,切3 王3 補休 王2 甫烋 広,2:20:幽,2:45:幽,243b0203,,,幫,幫B
樛,樛,居虯,居虯,1041,切3 王2 王3 広,2:20:幽,2:45:幽,243b0303,牙音,全清,見,見A
鏐,鏐,力幽,力幽,1042,切3 王2 王3 広,2:20:幽,2:45:幽,243b0301,半舌音,清濁,來,來3
淲,淲,皮彪,扶彪,1043,切3 王1 王2 王3 皮彪 広,2:20:幽,2:45:幽,243b0404,唇音,全濁,並,並B
稵,稵,子幽,子幽,1044,切3 王1 王2 王3 広,2:20:幽,2:45:幽,243b0503,齒音,全清,精,精4
犙,犙,山幽,山幽,1045,切3 王1 王2 王3 S6187 広,2:20:幽,2:45:幽,243b0504,齒音,全清,審二,生2
聱,聱,語虯,語虯,1046,切3 王1 王2 王3 S6187 広,2:20:幽,2:45:幽,243b0505,牙音,清濁,疑,疑A
飍,飍,香幽,香幽,1047,切3 王2 王3 広,2:20:幽,2:45:幽,243b0601,喉音,全清,曉,曉A
,烋,,許彪,1048,,,2:45:幽,,,,,曉B
繆,繆,武彪,許彪,1049,切3 王2 王3 広,2:20:幽,2:45:幽,243b0603,唇音,清濁,明,明B
侵,侵,七林,七林,1050,切3 王2 王3 S6187 広/切3 王1 王3 P2014-3 P2017 広,2:21:侵,2:46:侵,243b0801,齒音,次清,清,清4
尋,尋,徐林,徐林,1051,切3 王2 王3 P6187 広,2:21:侵,2:46:侵,243b0904,齒音,全濁,邪,邪4
林,林,力尋,力尋,1052,切3 王2 王3 P6187 広,2:21:侵,2:46:侵,244a0302,半舌音,清濁,來,來3
琛,琛,丑林,丑林,1053,切3 王2 王3 P6187 広,2:21:侵,2:46:侵,244a0502,舌音,次清,徹,透3
斟,斟,職深,職深,1054,切3 王2 王3 P6187 広,2:21:侵,2:46:侵,244a0603,齒音,全清,照三,章3
沈,沈,直深,除深,1055,切3 王2 王3 P6187 除[ ] 王1 直深 広,2:21:侵,2:46:侵,244a0903,舌音,全濁,澄,定3
碪,碪,知林,知林,1056,王2 王3 P6187 広 [ ]林 切3,2:21:侵,2:46:侵,244b0103,舌音,全清,知,端3
諶,諶,氏任,氏任,1057,王2 王3 P6187 氏任 広,2:21:侵,2:46:侵,244b0203,齒音,全濁,禪,常3
任,任,如林,如林,1058,王1 王2 王3 S6187 広,2:21:侵,2:46:侵,244b0304,半齒音,清濁,日,日3
深,深,式針,式針,1059,切3 王2 王3 S6187 広,2:21:侵,2:46:侵,244b0503,齒音,全清,審三,書3
淫,淫,餘針,餘針,1060,切3 王3 S6187 広 余針 王2,2:21:侵,2:46:侵,244b0505,喉音,清濁,喩,羊4
心,心,息林,息林,1061,切3 王2 王3 S6187 広,2:21:侵,2:46:侵,244b0707,齒音,全清,心,心4
愔,愔,挹淫,於淫,1062,切3 王2 王3 S6187 挹淫 広,2:21:侵,2:46:侵,244b0804,喉音,全清,影,影A
祲,祲,子心,姊心,1063,切3 王1 王2 王3 S6187 子心 広,2:21:侵,2:46:侵,244b0901,齒音,全清,精,精4
𩷒,𩷒,昨淫,昨淫,1064,王2 王3 S6187 広,2:21:侵,2:46:侵,244b1003,齒音,全濁,從,從4
䛘,䛘,女心,女心,1065,王1 王2 王3 S6187 広,2:21:侵,2:46:侵,245a0202,舌音,清濁,孃,泥3
琴,琴,巨金,渠金,1066,王3 S6187 渠今 王2 巨金 広,2:21:侵,2:46:侵,245a0205,牙音,全濁,羣,羣B
欽,欽,去金,去音,1067,王2 王3 S6187 去金 広,2:21:侵,2:46:侵,245a0607,牙音,次清,溪,溪B
吟,吟,魚金,魚音,1068,王1 王3 [ ]音 切3 魚今 王2 S6187 魚金 広,2:21:侵,2:46:侵,245a0705,牙音,清濁,疑,疑B
歆,歆,許金,許金,1069,王3 広 許今 王2 S6187 呼音 P2014-6,2:21:侵,2:46:侵,245a0903,喉音,全清,曉,曉B
金,金,居吟,居音,1070,王2 王3 S6187 居吟 広,2:21:侵,2:46:侵,245a1002,牙音,全清,見,見B
音,音,於金,於吟,1071,王3 S6187 於今 王2 於金 広,2:21:侵,2:46:侵,245b0303,喉音,全清,影,影B
森,森,所今,所今,1072,王2 王3 P2014-6 広 所金 S6187,2:21:侵,2:46:侵,245b0602,齒音,全清,審二,生2
岑,岑,鋤針,鋤簪,1073,王2 S6187 鋤金 王3 鋤針 広,2:21:侵,2:46:侵,245b0706,齒音,全濁,牀二,崇2
兂,簪,側吟,側岑,1074,王1 王3 S6187 側今 王1 側吟 広,2:21:侵,2:46:侵,245b0906,齒音,全清,照二,莊2
嵾,嵾,楚簪,楚今,1075,王2 王3 楚岑 S6187 楚簪 広,2:21:侵,2:46:侵,245b1002,齒音,次清,穿二,初2
𧡪,𧡪,充針,充針,1076,王2 王3 広,2:21:侵,2:46:侵,246a0102,齒音,次清,穿三,透3
鹽,鹽,余廉,余廉,1077,王2 王3 S6187 P2014-6 広/切3 王1 王3 P2017 広 [ ]廉 P2014-3,2:24:鹽,2:47:鹽,248a0301,喉音,清濁,喩,羊4
廉,廉,力鹽,力鹽,1078,王3 S6187 広 力廉 王2 力占 P2014-6,2:24:鹽,2:47:鹽,248a0603,半舌音,清濁,來,來3
砭,砭,府廉,府廉,1079,切3 王2 王3 広 付廉 P2014-6,2:24:鹽,2:47:鹽,248a1005,唇音,全清,幫,幫B
籤,籤,七廉,七廉,1080,切3 王2 王3 P2014-6 広,2:24:鹽,2:47:鹽,248b0301,齒音,次清,清,清4
詹,詹,職廉,職廉,1081,切3 王2 王3 広 織廉 P2014-6,2:24:鹽,2:47:鹽,248b0406,齒音,全清,照三,章3
銛,銛,息廉,息廉,1082,切3 王1 王2 王3 広 思廉 P2014-6纎,2:24:鹽,2:47:鹽,248a1007,齒音,全清,心,心4
棎,棎,視占,視詹,1083,切3 王1 王3 広 視占 王2 P2014-6 広,2:24:鹽,2:47:鹽,248b0703,齒音,全濁,禪,常3
苫,苫,失廉,失廉,1084,切3 王3 広 失[ ] 王1 室廉 王2 失占 P2014-6,2:24:鹽,2:47:鹽,248b0802,齒音,全清,審三,書3
䪜,䪜,處占,處占,1085,切3 王2 王3 處占 P2014-6㚲 広,2:24:鹽,2:47:鹽,248b0901,齒音,次清,穿三,透3
𩓾,𩓾,汝鹽,汝鹽,1086,切3 王1 王2 王3 広　而占 P2014-6,2:24:鹽,2:47:鹽,248b1007,半齒音,清濁,日,日3
黏,黏,女廉,女廉,1087,切3 王1 王2 王3 P2014-6 広,2:24:鹽,2:47:鹽,249a0301,舌音,清濁,孃,泥3
炎,炎,于廉,于廉,1088,切3 王1 王2 王3 広 于淹 P2014-6 ,2:24:鹽,2:47:鹽,249a0304,喉音,清濁,于,于B
霑,霑,張廉,張廉,1089,切3 王1 王2 王3 広 知廉 P2014-6沾,2:24:鹽,2:47:鹽,249a0305,舌音,全清,知,端3
覘,覘,丑廉,丑廉,1090,切3 王1 王2 王3 広 丑占 P2014-6,2:24:鹽,2:47:鹽,249a0403,舌音,次清,徹,透3
淹,淹,央炎,央炎,1091,切3 王2 王3 伊占 P2014-6 夹炎 広,2:24:鹽,2:47:鹽,249a0405,喉音,全清,影,影B
𢜩,𢜩,丘廉,丘廉,1092,切3 王2 王3 広,2:24:鹽,2:47:鹽,249a0601,牙音,次清,溪,溪B
𪙊,𪙊,語廉,語廉,1093,切3 王1 王2 王3 広 魚廉 Ｐ2014-6,2:24:鹽,2:47:鹽,249a0603,牙音,清濁,疑,疑B
尖,尖,子廉,子廉,1094,切3 王1 王2 王3 P2014-6 広,2:24:鹽,2:47:鹽,249a0604,齒音,全清,精,精4
潛,潛,昨鹽,昨鹽,1095,王1 王2 王3 広 作鹽 切3 作尖 Ｐ2014-6朁,2:24:鹽,2:47:鹽,249a0901,齒音,全濁,從,從4
箝,箝,巨淹,巨淹,1096,切3 王2 王3 広,2:24:鹽,2:47:鹽,249a1006,牙音,全濁,羣,羣B
懕,懕,一鹽,一鹽,1097,切3 王2 王3 広⿸广猒 於廉 Ｐ2014-6嬮 一鹽 広,2:24:鹽,2:47:鹽,249b0401,喉音,全清,影,影A
燅,燅,徐鹽,徐鹽,1098,切3 王2 王3 余廉 P2014-6 徐鹽 広,2:24:鹽,2:47:鹽,249b0503,齒音,全濁,邪,邪4
,妗,,火尖,1099,#N/A,,2:47:鹽,,,,,曉B
㶣,㶣,直廉,直廉,1100,P2014-6 直廉 広 ナシ 切3 王1 王2 王3,2:24:鹽,2:47:鹽,249b0606,舌音,全濁,澄,定3
襳,襳,史炎,史炎,1101,広 ナシ 切3 王1 王2 王3,2:24:鹽,2:47:鹽,249b0605,齒音,全清,審二,生2
鍼,鍼,巨鹽,巨鹽,1102,広 ナシ 切3 王1 王2 王3,2:24:鹽,2:47:鹽,249b0703,牙音,全濁,羣,羣A
添,添,他兼,他兼,1103,切3 王2 王3 広/切3 王1 王3 P2014-6 P2017 広,2:25:添,2:48:添,249b0801,舌音,次清,透,透4
𩬑,𩬑,丁兼,丁兼,1104,切3 王2 王3 広,2:25:添,2:48:添,249b0805,舌音,全清,端,端4
甜,甜,徒兼,徒兼,1105,切3 王1 王2 王3 広,2:25:添,2:48:添,249b1002,舌音,全濁,定,定4
鬑,鬑,勒兼,勒兼,1106,切3 王2 王3 広,2:25:添,2:48:添,249b1007,半舌音,清濁,來,來4
謙,謙,苦兼,苦兼,1107,切3 王2 王3 広,2:25:添,2:48:添,250a0201,牙音,次清,溪,溪4
兼,兼,古甜,古甜,1108,王1 王2 王3 広 古恬 切3,2:25:添,2:48:添,250a0203,牙音,全清,見,見4
嫌,嫌,戸兼,戸兼,1109,切3 王2 王3 広,2:25:添,2:48:添,250a0306,喉音,全濁,匣,匣4
鮎,鮎,奴兼,奴兼,1110,切3 王2 王3 広,2:25:添,2:48:添,250a0402,舌音,清濁,泥,泥4
馦,馦,許兼,許兼,1111,切3 王2 王3 広,2:25:添,2:48:添,250a0405,喉音,全清,曉,曉4
蒸,蒸,煮仍,諸膺,1112,王2 王3 語膺 切3 煑仍 広/切3 王1 王3　P2017 煑仍 広,2:16:蒸,2:49:蒸,234b0501,齒音,全清,照三,章3
承,承,署陵,署陵,1113,切3 王1 王2 王3 広,2:16:蒸,2:49:蒸,234b0605,齒音,全濁,禪,常3
澂,澂,直陵,直陵,1114,切3 王2 王3 広,2:16:蒸,2:49:蒸,234b0702,舌音,全濁,澄,定3
陵,陵,力膺,力膺,1115,切3 王2 広 六應 王3,2:16:蒸,2:49:蒸,234b0805,半舌音,清濁,來,來3
膺,膺,於陵,於陵,1116,切3 王1 王2 王3 広,2:16:蒸,2:49:蒸,235a0301,喉音,全清,影,影B
凭,憑,扶冰,扶氷,1117,切3 王1 王2 王3 広。凭,2:16:蒸,2:49:蒸,235a0403,唇音,全濁,並,並B
冫,冰,筆陵,筆陵,1118,王1 王2 王3 広 筆凌 切3 ,2:16:蒸,2:49:蒸,235a0601,,,幫,幫B
蠅,蠅,余陵,余陵,1119,切3 王3 広 餘陵 王2,2:16:蒸,2:49:蒸,235a0604,喉音,清濁,喩,羊4
繩,繩,食陵,食陵,1120,切3 王2 王3 広,2:16:蒸,2:49:蒸,235a0701,齒音,全濁,牀三,船3
升,升,識蒸,識丞,1121,切3 職承 王1 王2 王3 職蒸 広,2:16:蒸,2:49:蒸,235a0904,齒音,全清,審三,書3
仍,仍,如乘,如丞,1122,切3 如承 王1 王2 王3 如乗 広,2:16:蒸,2:49:蒸,235b0102,半齒音,清濁,日,日3
兢,兢,居陵,居陵,1123,切3 王1 王2 王3 広,2:16:蒸,2:49:蒸,235b0206,牙音,全清,見,見B
徵,徵,陟陵,陟陵,1124,切3 王1 王2 王3 広,2:16:蒸,2:49:蒸,235b0301,舌音,全清,知,端3
繒,繒,疾陵,疾陵,1125,切3 王1 王2 王3 広,2:16:蒸,2:49:蒸,235b0402,齒音,全濁,從,從4
凝,凝,魚陵,魚陵,1126,切3 王1 王2 王3 広,2:16:蒸,2:49:蒸,235b0504,牙音,清濁,疑,疑B
興,興,虚陵,虚陵,1127,切3 王1 王2 王3 広,2:16:蒸,2:49:蒸,235b0505,喉音,全清,曉,曉B
稱,稱,處陵,處陵,1128,切3 王1 王2 王3 広,2:16:蒸,2:49:蒸,235b0602,齒音,次清,穿三,昌3
